Unnamed: 0;lat;long;bm_dens;bm_size;bm_dead
4958;56.95244051;8.943549;0;0;0
4959;56.95243153;8.943549;0;0;0
4960;56.95242256;8.943549;0;0;0
4961;56.95241358;8.943549;0;0;0
4962;56.95240461;8.943549;0;0;0
4963;56.95239563;8.943549;0;0;0
4964;56.95238666;8.943549;0;0;0
4965;56.95237768;8.943549;0;0;0
4966;56.9523687;8.943549;0;0;0
4967;56.95235973;8.943549;0;0;0
4968;56.95235075;8.943549;0;0;0
4969;56.95234178;8.943549;0;0;0
4970;56.9523328;8.943549;0;0;0
4971;56.95232383;8.943549;0;0;0
4972;56.95231485;8.943549;0;0;0
4973;56.95230587;8.943549;0;0;0
4974;56.9522969;8.943549;0;0;0
4975;56.95228792;8.943549;0;0;0
4976;56.95227895;8.943549;0;0;0
4977;56.95226997;8.943549;0;0;0
4978;56.952261;8.943549;0;0;0
4979;56.95225202;8.943549;0;0;0
4980;56.95224304;8.943549;0;0;0
4981;56.95223407;8.943549;0;0;0
4982;56.95222509;8.943549;0;0;0
4983;56.95221612;8.943549;0;0;0
4984;56.95220714;8.943549;0;0;0
4985;56.95219817;8.943549;0;0;0
4986;56.95218919;8.943549;0;0;0
4987;56.95218021;8.943549;0;0;0
4988;56.95217124;8.943549;0;0;0
4989;56.95216226;8.943549;0;0;0
4990;56.95215329;8.943549;0;0;0
4991;56.95214431;8.943549;0;0;0
4992;56.95213534;8.943549;0;0;0
4993;56.95212636;8.943549;0;0;0
4994;56.95211739;8.943549;0;0;0
4995;56.95210841;8.943549;0;0;0
4996;56.95209943;8.943549;0;0;0
4997;56.95209046;8.943549;0;0;0
4998;56.95208148;8.943549;0;0;0
4999;56.95207251;8.943549;0;0;0
5000;56.95206353;8.943549;0;0;0
5001;56.95205456;8.943549;0;0;0
5002;56.95204558;8.943549;0;0;0
5003;56.9520366;8.943549;0;0;0
5004;56.95202763;8.943549;0;0;0
5005;56.95201865;8.943549;0;0;0
5006;56.95200968;8.943549;0;0;0
5007;56.9520007;8.943549;0;0;0
5008;56.95199173;8.943549;0;0;0
5009;56.95198275;8.943549;0;0;0
5010;56.95197377;8.943549;0;0;0
5011;56.9519648;8.943549;0;0;0
