,lat,lon,bm_dens,bm_size,bm_dead
1200,56.98617117,8.943549,0,0,0
1201,56.98616219,8.943549,0,0,0
1202,56.98615322,8.943549,0,0,0
1203,56.98614424,8.943549,0,0,0
1204,56.98613526,8.943549,0,0,0
1205,56.98612629,8.943549,0,0,0
1206,56.98611731,8.943549,0,0,0
1207,56.98610834,8.943549,0,0,0
1208,56.98609936,8.943549,0,0,0
1209,56.98609039,8.943549,0,0,0
1210,56.98608141,8.943549,0,0,0
1211,56.98607243,8.943549,0,0,0
1212,56.98606346,8.943549,0,0,0
1213,56.98605448,8.943549,0,0,0
1214,56.98604551,8.943549,0,0,0
1215,56.98603653,8.943549,0,0,0
1216,56.98602756,8.943549,0,0,0
1217,56.98601858,8.943549,0,0,0
1218,56.9860096,8.943549,0,0,0
1219,56.98600063,8.943549,0,0,0
1220,56.98599165,8.943549,0,0,0
1221,56.98598268,8.943549,0,0,0
1222,56.9859737,8.943549,0,0,0
1223,56.98596473,8.943549,0,0,0
1224,56.98595575,8.943549,0,0,0
1225,56.98594678,8.943549,0,0,0
1226,56.9859378,8.943549,0,0,0
1227,56.98592882,8.943549,0,0,0
1228,56.98591985,8.943549,0,0,0
1229,56.98591087,8.943549,0,0,0
1230,56.9859019,8.943549,0,0,0
1231,56.98589292,8.943549,0,0,0
1232,56.98588395,8.943549,0,0,0
1233,56.98587497,8.943549,0,0,0
1234,56.98586599,8.943549,0,0,0
1235,56.98585702,8.943549,0,0,0
1236,56.98584804,8.943549,0,0,0
1237,56.98583907,8.943549,0,0,0
1238,56.98583009,8.943549,0,0,0
1239,56.98582112,8.943549,0,0,0
1240,56.98581214,8.943549,0,0,0
1241,56.98580316,8.943549,0,0,0
1242,56.98579419,8.943549,0,0,0
1243,56.98578521,8.943549,0,0,0
1244,56.98577624,8.943549,0,0,0
1245,56.98576726,8.943549,0,0,0
1246,56.98575829,8.943549,0,0,0
1247,56.98574931,8.943549,0,0,0
1248,56.98574033,8.943549,0,0,0
1249,56.98573136,8.943549,0,0,0
1250,56.98572238,8.943549,0,0,0
1251,56.98571341,8.943549,0,0,0
1252,56.98570443,8.943549,0,0,0
1253,56.98569546,8.943549,0,0,0
1254,56.98568648,8.943549,0,0,0
1255,56.9856775,8.943549,0,0,0
1256,56.98566853,8.943549,0,0,0
1257,56.98565955,8.943549,0,0,0
1258,56.98565058,8.943549,0,0,0
1259,56.9856416,8.943549,0,0,0
1260,56.98563263,8.943549,0,0,0
1261,56.98562365,8.943549,0,0,0
1262,56.98561467,8.943549,0,0,0
1263,56.9856057,8.943549,0,0,0
1264,56.98559672,8.943549,0,0,0
1265,56.98558775,8.943549,0,0,0
1266,56.98557877,8.943549,0,0,0
1267,56.9855698,8.943549,0,0,0
1268,56.98556082,8.943549,0,0,0
1269,56.98555184,8.943549,0,0,0
1270,56.98554287,8.943549,0,0,0
1271,56.98553389,8.943549,0,0,0
1272,56.98552492,8.943549,0,0,0
1273,56.98551594,8.943549,0,0,0
1274,56.98550697,8.943549,0,0,0
1275,56.98549799,8.943549,0,0,0
1276,56.98548901,8.943549,0,0,0
1277,56.98548004,8.943549,0,0,0
1278,56.98547106,8.943549,0,0,0
1279,56.98546209,8.943549,0,0,0
1280,56.98545311,8.943549,0,0,0
1281,56.98544414,8.943549,0,0,0
1282,56.98543516,8.943549,0,0,0
1283,56.98542618,8.943549,0,0,0
1284,56.98541721,8.943549,0,0,0
1285,56.98540823,8.943549,0,0,0
1286,56.98539926,8.943549,0,0,0
1287,56.98539028,8.943549,0,0,0
1288,56.98538131,8.943549,0,0,0
1289,56.98537233,8.943549,0,0,0
